Property ID,Price,Property Size,Land Area,Bedrooms,Rooms,Bathrooms,Garage,Year Built,Property Type,Property Status,Title,URL
HP00025,"ZK12,000.00",1 sqft,1 sqft,1,1,1,1,1,House,For Rent,LILAYI,https://thehorizonproperties.com/property/lilayi-29/
HP00032,"Residential use: K15,000",1 sqft,1 sqft,4,1,1,1,1,Family Home,For Rent,CHALALA,https://thehorizonproperties.com/property/chalala-21/
HP00044,"ZK8,000.00",1 sqft,1 sqft,1,1,1,1,1,House,For Rent,CHALALA,https://thehorizonproperties.com/property/chalala-23/
HP00046,"ZK8,000.00",1 sqft,1 sqft,1,1,1,1,1,Family Home,For Rent,6 MILES,https://thehorizonproperties.com/property/6-miles-16/
HP00055,"ZK6,000.00",1 sqft,1 sqft,1,1,1,1,1,House,For Rent,CHILANGA,https://thehorizonproperties.com/property/chilanga-23/
HP091,"ZK10,000.00",1 sqft,1 sqft,1,1,1,1,1,House,For Rent,WATERFALLS (MIKA CONVENTION CENTRE AREA),https://thehorizonproperties.com/property/waterfalls-mika-convention-centre-area-3/
HP0168,"ZK19,000.00",1 sqft,1 sqft,1,1,1,1,1,Family Home,For Rent,WOODLANDS/ CHALALA,https://thehorizonproperties.com/property/woodlands-chalala-2/
HP0185,"ZK25,000.00",1 sqft,1 sqft,1,1,1,1,1,House,For Rent,IBEX HILL,https://thehorizonproperties.com/property/ibex-hill-6/
HP00008,"ZK15,000.00",1 sqft,1 sqft,1,1,1,1,1,Commercial,For Rent,SAMFYA (COMMERCIAL PROPERTY),https://thehorizonproperties.com/property/samfya-commercial-property/
HP007,"ZK3,500.00",1 sqft,1 sqft,1,1,1,1,1,House,For Rent,CHALALA,https://thehorizonproperties.com/property/chalala-17/
HP040,"ZK10,000.00",1 sqft,1 sqft,4,1,1,1,1,Family Home,For Rent,MAKENI BETHEL,https://thehorizonproperties.com/property/makeni-bethel-7/
HP040,"ZK15,000.00",1 sqft,1 sqft,3,1,1,1,1,House,For Rent,IBEX HILL,https://thehorizonproperties.com/property/ibex-hill-5/
HP044,"ZK25,000.00",1 sqft,1 sqft,3,1,1,1,1,Apartment,For Rent,IBEX,https://thehorizonproperties.com/property/ibex-11/
HP045,"ZK25,000.00",1 sqft,1 sqft,4,1,1,1,1,House,For Rent,MEANWOOD KWAMWENA PHASE 3,https://thehorizonproperties.com/property/meanwood-kwamwena-phase-3-2/
HP049,"$1,800.00",1 sqft,1 sqft,4,1,1,1,1,House,For Rent,SUNNINGDALE,https://thehorizonproperties.com/property/sunningdale/
HP052,"ZK25,000.00",1 sqft,1 sqft,1,1,1,1,1,Commercial,For Rent,LILAYI (COMMERCIAL PROPERTY),https://thehorizonproperties.com/property/lilayi-commercial-property/
HP066,"$2,200.00",1 sqft,1 sqft,3,1,1,1,1,House,For Rent,BONANZA,https://thehorizonproperties.com/property/bonanza/
,"ZK15,000.00",,,3,,2,,,House,For Rent,SALAMA PARK,https://thehorizonproperties.com/property/salama-park-2-2-2/
,"ZK20,000.00",,"Lusaka,Zambia sqft",3,,1,,,House,For Rent,IBEX,https://thehorizonproperties.com/property/ibex-8-2/
,"ZK10,000.00",,"KABULONGA,LUSAKA sqft",3,,,,,House,For Rent,KABULONGA,https://thehorizonproperties.com/property/kabulonga-8-2/
,"ZK9,500.00",,Zambia sqft,3,,,1,,House,For Rent,CHILANGA,https://thehorizonproperties.com/property/chilanga-12-3/
,"ZK3,580,000.00",,,,,,,,Farmland,For Rent,SHIMABALA,https://thehorizonproperties.com/property/shimabala-10/
,"ZK20,000.00",,"Lusaka,Zambia sqft",3,,1,,,House,For Rent,IBEX,https://thehorizonproperties.com/property/ibex-8/
,"ZK15,000.00",,,3,,2,,,House,For Rent,SALAMA PARK,https://thehorizonproperties.com/property/salama-park-2-2/
,"ZK9,500.00",,Zambia sqft,3,,,1,,House,For Rent,CHILANGA,https://thehorizonproperties.com/property/chilanga-12-3-2/
,"ZK10,000.00",,"KABULONGA,LUSAKA sqft",3,,,,,House,For Rent,KABULONGA,https://thehorizonproperties.com/property/kabulonga-8-2-2/
,"ZK18,000.00",,"Lusaka, Zambia sqft",4,,3,,,Residential,For Rent,CHAMBA VALLEY,https://thehorizonproperties.com/property/chamba-valley-8-2/
,"$2,000.00",50x60m sqft,"LILAYI ,LUSAKA sqft",,,,,,Commercial,For Rent,LILAYI,https://thehorizonproperties.com/property/lilayi-15/
,"ZK10,000.00",,"KABULONGA,LUSAKA sqft",3,,,,,House,For Rent,KABULONGA,https://thehorizonproperties.com/property/kabulonga-8/
,"ZK10,000.00",62x62 sqft,Zambia sqft,,,,,,Residential,For Rent,LILAYI,https://thehorizonproperties.com/property/lilayi-16/
,"ZK9,500.00",,Zambia sqft,3,,,1,,House,For Rent,CHILANGA,https://thehorizonproperties.com/property/chilanga-12/
,"ZK15,000.00",,,3,,2,,,House,For Rent,SALAMA PARK,https://thehorizonproperties.com/property/salama-park-2/
,"ZK9,500.00",,Zambia sqft,3,,,1,,House,For Rent,CHILANGA,https://thehorizonproperties.com/property/chilanga-12-2/
,"ZK10,000.00",,,2,,,,,House,For Rent,WATERFALLS (MIKA CONVENTION CENTRE AREA),https://thehorizonproperties.com/property/waterfalls-mika-convention-centre-area-2/
,"ZK12,000.00",,"KABULONGA, ZAMBIA sqft",,,,,,Commercial,For Rent,KABULONGA,https://thehorizonproperties.com/property/kabulonga-7/
,"ZK17,000.00",,,,,,,,House,For Rent,CHALALA (BOARDER VIEW),https://thehorizonproperties.com/property/chalala-boarder-view/
28755,"ZK10,000.00",50X30 m²,,3,,,,,House,For Rent,CHALALA,https://thehorizonproperties.com/property/chalala-2-2/
,"ZK20,000.00",,Zambia sqft,4,,,,,Residential,For Rent,LONG ACRES (PROSPECT HILL),https://thehorizonproperties.com/property/long-acres-prospect-hill/
28554,"ZK10,000.00",,,4,,,,,House,For Rent,MEANWOOD NDEKE,https://thehorizonproperties.com/property/meanwood-ndeke-2-2-2/
,"ZK10,000.00",,MEANWOOD IBEX sqft,3,,2,,,House,For Rent,MEANWOOD IBEX,https://thehorizonproperties.com/property/meanwood-ibex-5/
,"$3,500.00",,"WOODLANDS, Lusaka sqft",4,,,1,,Residential,For Rent,WOODLANDS MAIN,https://thehorizonproperties.com/property/woodlands-main/
,"ZK10,000.00",,MEANWOOD IBEX sqft,3,,2,,,House,For Rent,MEANWOOD IBEX,https://thehorizonproperties.com/property/meanwood-ibex-5-2/
,"ZK10,000.00",,,2,,,,,House,For Rent,WATERFALLS (MIKA CONVENTION CENTRE AREA),https://thehorizonproperties.com/property/waterfalls-mika-convention-centre-area/
,"$2,500",,"kingsland, Zambia sqft",5,,3,,,Apartment,For Rent,KINGSLAND,https://thehorizonproperties.com/property/kingsland/
,"ZK18,000.00",,"Lusaka, Zambia sqft",4,,3,,,Residential,For Rent,CHAMBA VALLEY,https://thehorizonproperties.com/property/chamba-valley-8/
28554,"ZK10,000.00",,,4,,,,,House,For Rent,MEANWOOD NDEKE,https://thehorizonproperties.com/property/meanwood-ndeke-2-2/
,"ZK20,000.00",,Zambia sqft,4,,,,,Commercial,For Rent,WOODLANDS/ CHALALA,https://thehorizonproperties.com/property/woodlands-chalala/
,"ZK4,000.00",,Zambia sqft,1,,,,,House,For Rent,CHALALA,https://thehorizonproperties.com/property/chalala-12-2/
,"ZK30,000.00",,,,,,,,Commercial,For Rent,WOODLANDS,https://thehorizonproperties.com/property/woodlands-4/
29991,"$1,000.00",,,2,,,,,Apartment,For Rent,LILAYI,https://thehorizonproperties.com/property/lilayi-8-2/
01,"ZK5,000.00",30 sqft,Zambia sqft,3,5,2,1,2023,House,For Rent,MAKENI KONGA,https://thehorizonproperties.com/property/makeni-konga-2-2/
,"ZK10,000.00",,,4,,,1,,House,For Rent,CHILANGA,https://thehorizonproperties.com/property/chilanga-7/
,"ZK4,000.00",,Zambia sqft,1,,,,,House,For Rent,CHALALA,https://thehorizonproperties.com/property/chalala-12/
,"$1,500.00",,"KABULONGA , LUSAKA sqft",4,,2,1,,House,For Rent,KABULONGA (SUNNINGDALE),https://thehorizonproperties.com/property/kabulonga-sunningdale/
30121,"ZK10,000.00",,,3,,,,,House,For Rent,IBEX HILL,https://thehorizonproperties.com/property/ibex-hill-2-2-2/
30121,"ZK10,000.00",,,3,,,,,House,For Rent,IBEX HILL,https://thehorizonproperties.com/property/ibex-hill-2-2/
29805,"ZK15,000.00",,,3,,,,,House,For Rent,STATE LODGE,https://thehorizonproperties.com/property/state-lodge-2-2/
29471,"ZK30,000.00",ZAMBIA m²,IBEX m²,3,,,,,House,For Rent,IBEX HILL,https://thehorizonproperties.com/property/ibex-hill-3/
29805,"ZK15,000.00",,,3,,,,,House,For Rent,STATE LODGE,https://thehorizonproperties.com/property/state-lodge-2-3/
01,"ZK7,000.00",30 sqft,Zambia sqft,2,4,1,1,2023,House,For Rent,MEANWOOD IBEX,https://thehorizonproperties.com/property/meanwood-ibex-4/
01,"ZK5,000.00",30 sqft,Zambia sqft,3,5,2,1,2023,House,For Rent,MAKENI KONGA,https://thehorizonproperties.com/property/makeni-konga-2/
30142,"ZK6,500.00",,,2,,,,,House,For Rent,VORNA VALLEY,https://thehorizonproperties.com/property/vorna-valley-2/
,"ZK6,000.00",,,,,,,,Shop,For Rent,6 MILES,https://thehorizonproperties.com/property/6-miles-4/
29581,"ZK10,000.00",,,5,,,,,House,For Rent,10 MILES,https://thehorizonproperties.com/property/10-miles-3/
29805,"ZK15,000.00",,,3,,,,,House,For Rent,STATE LODGE,https://thehorizonproperties.com/property/state-lodge-2/
29991,"$1,000.00",,,2,,,,,Apartment,For Rent,LILAYI,https://thehorizonproperties.com/property/lilayi-8/
30121,"ZK10,000.00",,,3,,,,,House,For Rent,IBEX HILL,https://thehorizonproperties.com/property/ibex-hill-2/
30142,"ZK6,500.00",,,2,,,,,House,For Rent,VORNA VALLEY,https://thehorizonproperties.com/property/vorna-valley/
28931,"ZK12,000.00",,,3,5,,,,House,For Rent,CHILENJE,https://thehorizonproperties.com/property/chilenje/
28967,"ZK10,000.00",,,3,,,,,House,For Rent,MAKENI (GREY ZULU),https://thehorizonproperties.com/property/makeni-grey-zulu-2/
28978,"ZK14,500.00",,,5,,,,,House,For Rent,CHAMBA VALLEY,https://thehorizonproperties.com/property/chamba-valley-2/
29471,"ZK30,000.00",ZAMBIA m²,IBEX m²,3,,,,,House,For Rent,IBEX HILL,https://thehorizonproperties.com/property/ibex-hill/
26962,"ZK15,000.00",,KABULONGA m²,3,6,,,,Residential,For Rent,KABULONGA,https://thehorizonproperties.com/property/kabulonga/
27616,"$2,000.00",,,5,,,,,House,For Rent,KABULONGA,https://thehorizonproperties.com/property/kabulonga-2/
27830,"ZK7,000.00",,,3,,,,,House,For Rent,MEAN WOOD IBEX,https://thehorizonproperties.com/property/mean-wood-ibex/
28310,"ZK6,000.00",,,,,,,,House,For Rent,ROMA,https://thehorizonproperties.com/property/roma/
28322,"$2,500.00",,,3,,,,,House,For Rent,OLYMPIA,https://thehorizonproperties.com/property/olympia/
28391,,,,3,,2,,,House,For Rent,9MILES,https://thehorizonproperties.com/property/9miles/
28464,"ZK1,350,000.00",35x21.6 m²,,2,,,,,House,For Rent,SILVEREST,https://thehorizonproperties.com/property/silverest-8/
28554,"ZK10,000.00",,,4,,,,,House,For Rent,MEANWOOD NDEKE,https://thehorizonproperties.com/property/meanwood-ndeke-2/
28893,"ZK10,000.00",,,3,,,,,Apartment,For Rent,FERNGROOVE (LUSAKA WEST),https://thehorizonproperties.com/property/ferngroove-lusaka-west/
26155,"$2,500.00/each",,,5,,,,,"House, Residential",For Rent,FOR RENT: LONG ACRES,https://thehorizonproperties.com/property/for-rent-long-acres-2/
26156,$14.00/per square meter,800sqm,,,,,,,Commercial,For Rent,FOR RENT: LONG ACRES (OFFICE SPACE),https://thehorizonproperties.com/property/for-rent-long-acres-office-space-2/
26236,"$2,500.00/each",,,5,,,,,"House, Residential",For Rent,FOR RENT: LONG ACRES,https://thehorizonproperties.com/property/for-rent-long-acres-2-2/
