Type,Price/m,Bedrooms,Location,Area,URL
bedsitter,K5000,1,,Lusaka | kabulonga,https://sakilahomes.com/post/2872/bedsitter-kabulonga-k5000/
Flat,K10000,3,,Lusaka | makeni,https://sakilahomes.com/post/2873/3-bedroom-makeni-k10000/
Flat,K6100,2,,Lusaka | chamba valley,https://sakilahomes.com/post/2874/2-bedroom-chamba-valley-k6100/
Flat,K7000,3,,Lusaka | chalala,https://sakilahomes.com/post/2825/3-bedroom--chalala--k7000/
Flat,K4500,2,,Lusaka | new kasama,https://sakilahomes.com/post/2826/2-bedroom--new-kasam--k4500/
Flat,K9000,3,,Lusaka | makeni,https://sakilahomes.com/post/2827/3-bedroom--makeni--k9000/
house,K6000,2,,Lusaka | waterfall,https://sakilahomes.com/post/2828/2-bedroom--waterfalls--k6000/
Flat,K6500,2,,Lusaka | ibex hill,https://sakilahomes.com/post/2829/2-bedroom--ibex-hill--k6500/
house,K6500,1,,Lusaka | ibex hill,https://sakilahomes.com/post/2830/1-bedroom--ibex-hill--k6500/
house,K5000,2,,Lusaka | chilenje,https://sakilahomes.com/post/2831/2-bedroom--chilenje--k5000/
Flat,K7500,2,,Lusaka | lilayi,https://sakilahomes.com/post/2832/2-bedroom--lilayi--k7500/
Flat,K7500,3,,Lusaka | makeni,https://sakilahomes.com/post/2833/3-bedroom--makeni--k7500/
Flat,K10000,2,,Lusaka | ibex hill,https://sakilahomes.com/post/2834/2-bedroom--ibex-hill--k10000/
Flat,K5000,2,,Lusaka | chalala,https://sakilahomes.com/post/2835/2-bedroom--chalala--k5000/
Flat,K7000,2,,Lusaka | lilayi,https://sakilahomes.com/post/2836/2-bedroom--lilayi--k7000/
Flat,K5000,1,,Lusaka | chalala,https://sakilahomes.com/post/2837/1-bedroom--chalala--k5000/
Flat,K5500,2,,Lusaka | garden-house,https://sakilahomes.com/post/2838/2-bedroom--garden-house-k5500/
Flat,K5000,1,,Lusaka | makeni,https://sakilahomes.com/post/2839/1-bedroom-makeni--k5000/
Flat,K4500,1,,Lusaka | lilayi,https://sakilahomes.com/post/2840/1-bedroom-lilayi--k4500/
Flat,K10000,2,,Lusaka | new kasama,https://sakilahomes.com/post/2773/2-bedroom--new-kasama--k10000/
Flat,K5000,3,,Lusaka | waterfall,https://sakilahomes.com/post/2774/3-bedroom-waterfalls--k5000/
